RECORD,TIMESTAMP,depth_to_water_from_land_surface,head
0,2016-03-14 14:00:00,6.71,605.62
1,2016-03-14 15:00:00,6.71,605.62
2,2016-03-14 16:00:00,6.72,605.61
3,2016-03-14 17:00:00,6.72,605.61
4,2016-03-14 18:00:00,6.72,605.61
5,2016-03-14 19:00:00,6.71,605.62
6,2016-03-15 10:00:00,6.68,605.65
7,2016-03-15 11:00:00,6.67,605.66
8,2016-03-15 12:00:00,6.67,605.66
9,2016-03-15 13:00:00,6.67,605.66
10,2016-03-15 14:00:00,6.67,605.66
11,2016-03-15 15:00:00,6.66,605.67
12,2016-03-15 16:00:00,6.66,605.67
13,2016-03-15 17:00:00,6.66,605.67
14,2016-03-15 18:00:00,6.65,605.68
15,2016-03-15 19:00:00,6.64,605.69
16,2016-03-15 20:00:00,6.62,605.71
17,2016-03-15 21:00:00,6.62,605.71
18,2016-03-15 22:00:00,6.61,605.72
19,2016-03-15 23:00:00,6.61,605.72
20,2016-03-16 00:00:00,6.61,605.72
21,2016-03-16 01:00:00,6.61,605.72
22,2016-03-16 02:00:00,6.61,605.72
23,2016-03-16 03:00:00,6.61,605.72
24,2016-03-16 04:00:00,6.61,605.72
25,2016-03-16 05:00:00,6.62,605.71
26,2016-03-16 06:00:00,6.63,605.7
27,2016-03-16 07:00:00,6.63,605.7
28,2016-03-16 08:00:00,6.64,605.69
29,2016-03-16 09:00:00,6.64,605.69
30,2016-03-16 10:00:00,6.65,605.68
31,2016-03-16 11:00:00,6.66,605.67
32,2016-03-16 12:00:00,6.67,605.66
33,2016-03-16 13:00:00,6.67,605.66
34,2016-03-16 14:00:00,6.67,605.66
35,2016-03-16 15:00:00,6.68,605.65
36,2016-03-16 16:00:00,6.68,605.65
37,2016-03-16 17:00:00,6.69,605.64
38,2016-03-16 18:00:00,6.69,605.64
39,2016-03-16 19:00:00,6.7,605.63
40,2016-03-16 20:00:00,6.7,605.63
41,2016-03-16 21:00:00,6.7,605.63
42,2016-03-16 22:00:00,6.7,605.63
43,2016-03-16 23:00:00,6.7,605.63
44,2016-03-17 00:00:00,6.7,605.63
45,2016-03-17 01:00:00,6.7,605.63
46,2016-03-17 02:00:00,6.69,605.64
47,2016-03-17 03:00:00,6.69,605.64
48,2016-03-17 04:00:00,6.69,605.64
49,2016-03-17 05:00:00,6.7,605.63
50,2016-03-17 06:00:00,6.7,605.63
51,2016-03-17 07:00:00,6.71,605.62
52,2016-03-17 08:00:00,6.71,605.62
53,2016-03-17 09:00:00,6.71,605.62
54,2016-03-17 10:00:00,6.71,605.62
55,2016-03-17 11:00:00,6.71,605.62
56,2016-03-17 12:00:00,6.71,605.62
57,2016-03-17 13:00:00,6.71,605.62
58,2016-03-17 14:00:00,6.71,605.62
59,2016-03-17 15:00:00,6.71,605.62
60,2016-03-17 16:00:00,6.71,605.62
61,2016-03-17 17:00:00,6.72,605.61
62,2016-03-17 18:00:00,6.72,605.61
63,2016-03-17 19:00:00,6.73,605.6
64,2016-03-17 20:00:00,6.73,605.6
65,2016-03-17 21:00:00,6.73,605.6
66,2016-03-17 22:00:00,6.74,605.59
67,2016-03-17 23:00:00,6.74,605.59
68,2016-03-18 00:00:00,6.74,605.59
69,2016-03-18 01:00:00,6.74,605.59
70,2016-03-18 02:00:00,6.74,605.59
71,2016-03-18 03:00:00,6.73,605.6
72,2016-03-18 04:00:00,6.74,605.59
73,2016-03-18 05:00:00,6.74,605.59
74,2016-03-18 06:00:00,6.75,605.58
75,2016-03-18 07:00:00,6.75,605.58
76,2016-03-18 08:00:00,6.75,605.58
77,2016-03-18 09:00:00,6.76,605.57
78,2016-03-18 10:00:00,6.76,605.57
79,2016-03-18 11:00:00,6.76,605.57
80,2016-03-18 12:00:00,6.76,605.57
81,2016-03-18 13:00:00,6.75,605.58
82,2016-03-18 14:00:00,6.75,605.58
83,2016-03-18 15:00:00,6.75,605.58
84,2016-03-18 16:00:00,6.75,605.58
85,2016-03-18 17:00:00,6.75,605.58
86,2016-03-18 18:00:00,6.75,605.58
87,2016-03-18 19:00:00,6.76,605.57
88,2016-03-18 20:00:00,6.76,605.57
89,2016-03-18 21:00:00,6.77,605.56
90,2016-03-18 22:00:00,6.77,605.56
91,2016-03-18 23:00:00,6.76,605.57
92,2016-03-19 00:00:00,6.76,605.57
93,2016-03-19 01:00:00,6.76,605.57
94,2016-03-19 02:00:00,6.75,605.58
95,2016-03-19 03:00:00,6.75,605.58
96,2016-03-19 04:00:00,6.74,605.59
97,2016-03-19 05:00:00,6.74,605.59
98,2016-03-19 06:00:00,6.75,605.58
99,2016-03-19 07:00:00,6.75,605.58
100,2016-03-19 08:00:00,6.76,605.57
101,2016-03-19 09:00:00,6.76,605.57
102,2016-03-19 10:00:00,6.76,605.57
103,2016-03-19 11:00:00,6.76,605.57
104,2016-03-19 12:00:00,6.76,605.57
105,2016-03-19 13:00:00,6.75,605.58
106,2016-03-19 14:00:00,6.75,605.58
107,2016-03-19 15:00:00,6.75,605.58
108,2016-03-19 16:00:00,6.75,605.58
109,2016-03-19 17:00:00,6.75,605.58
110,2016-03-19 18:00:00,6.75,605.58
111,2016-03-19 19:00:00,6.76,605.57
112,2016-03-19 20:00:00,6.76,605.57
113,2016-03-19 21:00:00,6.77,605.56
114,2016-03-19 22:00:00,6.77,605.56
115,2016-03-19 23:00:00,6.76,605.57
116,2016-03-20 00:00:00,6.76,605.57
117,2016-03-20 01:00:00,6.76,605.57
118,2016-03-20 02:00:00,6.75,605.58
119,2016-03-20 03:00:00,6.75,605.58
120,2016-03-20 04:00:00,6.75,605.58
121,2016-03-20 05:00:00,6.75,605.58
122,2016-03-20 06:00:00,6.75,605.58
123,2016-03-20 07:00:00,6.76,605.57
124,2016-03-20 08:00:00,6.76,605.57
125,2016-03-20 09:00:00,6.76,605.57
126,2016-03-20 10:00:00,6.76,605.57
127,2016-03-20 11:00:00,6.76,605.57
128,2016-03-20 12:00:00,6.75,605.58
129,2016-03-20 13:00:00,6.75,605.58
130,2016-03-20 14:00:00,6.74,605.59
131,2016-03-20 15:00:00,6.74,605.59
132,2016-03-20 16:00:00,6.73,605.6
133,2016-03-20 17:00:00,6.73,605.6
134,2016-03-20 18:00:00,6.74,605.59
135,2016-03-20 19:00:00,6.74,605.59
136,2016-03-20 20:00:00,6.74,605.59
137,2016-03-20 21:00:00,6.75,605.58
138,2016-03-20 22:00:00,6.75,605.58
139,2016-03-20 23:00:00,6.75,605.58
140,2016-03-21 00:00:00,6.75,605.58
141,2016-03-21 01:00:00,6.74,605.59
142,2016-03-21 02:00:00,6.74,605.59
143,2016-03-21 03:00:00,6.73,605.6
144,2016-03-21 04:00:00,6.73,605.6
145,2016-03-21 05:00:00,6.73,605.6
146,2016-03-21 06:00:00,6.73,605.6
147,2016-03-21 07:00:00,6.73,605.6
148,2016-03-21 08:00:00,6.73,605.6
149,2016-03-21 09:00:00,6.74,605.59
150,2016-03-21 10:00:00,6.74,605.59
151,2016-03-21 11:00:00,6.74,605.59
152,2016-03-21 12:00:00,6.73,605.6
153,2016-03-21 13:00:00,6.72,605.61
154,2016-03-21 14:00:00,6.71,605.62
155,2016-03-21 15:00:00,6.7,605.63
156,2016-03-21 16:00:00,6.69,605.64
157,2016-03-21 17:00:00,6.68,605.65
158,2016-03-21 18:00:00,6.67,605.66
159,2016-03-21 19:00:00,6.68,605.65
160,2016-03-21 20:00:00,6.68,605.65
161,2016-03-21 21:00:00,6.68,605.65
162,2016-03-21 22:00:00,6.68,605.65
163,2016-03-21 23:00:00,6.67,605.66
164,2016-03-22 00:00:00,6.67,605.66
165,2016-03-22 01:00:00,6.66,605.67
166,2016-03-22 02:00:00,6.65,605.68
167,2016-03-22 03:00:00,6.64,605.69
168,2016-03-22 04:00:00,6.63,605.7
169,2016-03-22 05:00:00,6.63,605.7
170,2016-03-22 06:00:00,6.62,605.71
171,2016-03-22 07:00:00,6.62,605.71
172,2016-03-22 08:00:00,6.62,605.71
173,2016-03-22 09:00:00,6.62,605.71
174,2016-03-22 10:00:00,6.63,605.7
175,2016-03-22 11:00:00,6.63,605.7
176,2016-03-22 12:00:00,6.62,605.71
177,2016-03-22 13:00:00,6.61,605.72
178,2016-03-22 14:00:00,6.61,605.72
179,2016-03-22 15:00:00,6.6,605.73
180,2016-03-22 16:00:00,6.6,605.73
181,2016-03-22 17:00:00,6.59,605.74
182,2016-03-22 18:00:00,6.59,605.74
183,2016-03-22 19:00:00,6.6,605.73
184,2016-03-22 20:00:00,6.6,605.73
185,2016-03-22 21:00:00,6.61,605.72
186,2016-03-22 22:00:00,6.62,605.71
187,2016-03-22 23:00:00,6.62,605.71
188,2016-03-23 00:00:00,6.62,605.71
189,2016-03-23 01:00:00,6.62,605.71
190,2016-03-23 02:00:00,6.62,605.71
191,2016-03-23 03:00:00,6.62,605.71
192,2016-03-23 04:00:00,6.62,605.71
193,2016-03-23 05:00:00,6.62,605.71
194,2016-03-23 06:00:00,6.62,605.71
195,2016-03-23 07:00:00,6.62,605.71
196,2016-03-23 08:00:00,6.63,605.7
197,2016-03-23 09:00:00,6.63,605.7
198,2016-03-23 10:00:00,6.64,605.69
199,2016-03-23 11:00:00,6.64,605.69
200,2016-03-23 12:00:00,6.64,605.69
201,2016-03-23 13:00:00,6.63,605.7
202,2016-03-23 14:00:00,6.63,605.7
203,2016-03-23 15:00:00,6.62,605.71
204,2016-03-23 16:00:00,6.62,605.71
205,2016-03-23 17:00:00,6.61,605.72
206,2016-03-23 18:00:00,6.61,605.72
207,2016-03-23 19:00:00,6.6,605.73
208,2016-03-23 20:00:00,6.6,605.73
209,2016-03-23 21:00:00,6.61,605.72
210,2016-03-23 22:00:00,6.6,605.73
211,2016-03-23 23:00:00,6.6,605.73
212,2016-03-24 00:00:00,6.61,605.72
213,2016-03-24 01:00:00,6.57,605.76
214,2016-03-24 02:00:00,6.58,605.75
215,2016-03-24 03:00:00,6.58,605.75
216,2016-03-24 04:00:00,6.56,605.77
217,2016-03-24 05:00:00,6.56,605.77
218,2016-03-24 06:00:00,6.55,605.78
219,2016-03-24 07:00:00,6.55,605.78
220,2016-03-24 08:00:00,6.53,605.8
221,2016-03-24 09:00:00,6.5,605.83
222,2016-03-24 10:00:00,6.5,605.83
223,2016-03-24 11:00:00,6.49,605.84
224,2016-03-24 12:00:00,6.5,605.83
225,2016-03-24 13:00:00,6.51,605.82
226,2016-03-24 14:00:00,6.51,605.82
227,2016-03-24 15:00:00,6.51,605.82
228,2016-03-24 16:00:00,6.51,605.82
229,2016-03-24 17:00:00,6.52,605.81
230,2016-03-24 18:00:00,6.53,605.8
231,2016-03-24 19:00:00,6.53,605.8
232,2016-03-24 20:00:00,6.54,605.79
233,2016-03-24 21:00:00,6.55,605.78
234,2016-03-24 22:00:00,6.56,605.77
235,2016-03-24 23:00:00,6.56,605.77
236,2016-03-25 00:00:00,6.56,605.77
237,2016-03-25 01:00:00,6.57,605.76
238,2016-03-25 02:00:00,6.57,605.76
239,2016-03-25 03:00:00,6.57,605.76
240,2016-03-25 04:00:00,6.57,605.76
241,2016-03-25 05:00:00,6.57,605.76
242,2016-03-25 06:00:00,6.57,605.76
243,2016-03-25 07:00:00,6.57,605.76
244,2016-03-25 08:00:00,6.58,605.75
245,2016-03-25 09:00:00,6.58,605.75
246,2016-03-25 10:00:00,6.59,605.74
247,2016-03-25 11:00:00,6.59,605.74
248,2016-03-25 12:00:00,6.6,605.73
249,2016-03-25 13:00:00,6.6,605.73
250,2016-03-25 14:00:00,6.59,605.74
251,2016-03-25 15:00:00,6.59,605.74
252,2016-03-25 16:00:00,6.59,605.74
253,2016-03-25 17:00:00,6.58,605.75
254,2016-03-25 18:00:00,6.58,605.75
255,2016-03-25 19:00:00,6.58,605.75
256,2016-03-25 20:00:00,6.58,605.75
257,2016-03-25 21:00:00,6.58,605.75
258,2016-03-25 22:00:00,6.59,605.74
259,2016-03-25 23:00:00,6.59,605.74
260,2016-03-26 00:00:00,6.59,605.74
261,2016-03-26 01:00:00,6.59,605.74
262,2016-03-26 02:00:00,6.59,605.74
263,2016-03-26 03:00:00,6.59,605.74
264,2016-03-26 04:00:00,6.59,605.74
265,2016-03-26 05:00:00,6.59,605.74
266,2016-03-26 06:00:00,6.59,605.74
267,2016-03-26 07:00:00,6.59,605.74
268,2016-03-26 08:00:00,6.59,605.74
269,2016-03-26 09:00:00,6.59,605.74
270,2016-03-26 10:00:00,6.6,605.73
271,2016-03-26 11:00:00,6.59,605.74
272,2016-03-26 12:00:00,6.6,605.73
273,2016-03-26 13:00:00,6.6,605.73
274,2016-03-26 14:00:00,6.59,605.74
275,2016-03-26 15:00:00,6.58,605.75
276,2016-03-26 16:00:00,6.58,605.75
277,2016-03-26 17:00:00,6.57,605.76
278,2016-03-26 18:00:00,6.56,605.77
279,2016-03-26 19:00:00,6.57,605.76
280,2016-03-26 20:00:00,6.56,605.77
281,2016-03-26 21:00:00,6.56,605.77
282,2016-03-26 22:00:00,6.56,605.77
283,2016-03-26 23:00:00,6.56,605.77
284,2016-03-27 00:00:00,6.57,605.76
285,2016-03-27 01:00:00,6.57,605.76
286,2016-03-27 02:00:00,6.56,605.77
287,2016-03-27 03:00:00,6.56,605.77
288,2016-03-27 04:00:00,6.56,605.77
289,2016-03-27 05:00:00,6.55,605.78
290,2016-03-27 06:00:00,6.54,605.79
291,2016-03-27 07:00:00,6.55,605.78
292,2016-03-27 08:00:00,6.55,605.78
293,2016-03-27 09:00:00,6.55,605.78
294,2016-03-27 10:00:00,6.55,605.78
295,2016-03-27 11:00:00,6.55,605.78
296,2016-03-27 12:00:00,6.55,605.78
297,2016-03-27 13:00:00,6.55,605.78
298,2016-03-27 14:00:00,6.54,605.79
299,2016-03-27 15:00:00,6.54,605.79
300,2016-03-27 16:00:00,6.53,605.8
301,2016-03-27 17:00:00,6.53,605.8
302,2016-03-27 18:00:00,6.53,605.8
303,2016-03-27 19:00:00,6.52,605.81
304,2016-03-27 20:00:00,6.52,605.81
305,2016-03-27 21:00:00,6.52,605.81
306,2016-03-27 22:00:00,6.52,605.81
307,2016-03-27 23:00:00,6.53,605.8
308,2016-03-28 00:00:00,6.53,605.8
309,2016-03-28 01:00:00,6.53,605.8
310,2016-03-28 02:00:00,6.54,605.79
311,2016-03-28 03:00:00,6.54,605.79
312,2016-03-28 04:00:00,6.54,605.79
313,2016-03-28 05:00:00,6.54,605.79
314,2016-03-28 06:00:00,6.54,605.79
315,2016-03-28 07:00:00,6.54,605.79
316,2016-03-28 08:00:00,6.55,605.78
317,2016-03-28 09:00:00,6.55,605.78
318,2016-03-28 10:00:00,6.56,605.77
319,2016-03-28 11:00:00,6.56,605.77
320,2016-03-28 12:00:00,6.56,605.77
321,2016-03-28 13:00:00,6.57,605.76
322,2016-03-28 14:00:00,6.57,605.76
323,2016-03-28 15:00:00,6.57,605.76
324,2016-03-28 16:00:00,6.57,605.76
325,2016-03-28 17:00:00,6.57,605.76
326,2016-03-28 18:00:00,6.57,605.76
327,2016-03-28 19:00:00,6.57,605.76
328,2016-03-28 20:00:00,6.57,605.76
329,2016-03-28 21:00:00,6.57,605.76
330,2016-03-28 22:00:00,6.57,605.76
331,2016-03-28 23:00:00,6.57,605.76
332,2016-03-29 00:00:00,6.57,605.76
333,2016-03-29 01:00:00,6.57,605.76
334,2016-03-29 02:00:00,6.57,605.76
335,2016-03-29 03:00:00,6.57,605.76
336,2016-03-29 04:00:00,6.58,605.75
337,2016-03-29 05:00:00,6.58,605.75
338,2016-03-29 06:00:00,6.58,605.75
339,2016-03-29 07:00:00,6.58,605.75
340,2016-03-29 08:00:00,6.58,605.75
341,2016-03-29 09:00:00,6.58,605.75
342,2016-03-29 10:00:00,6.58,605.75
343,2016-03-29 11:00:00,6.58,605.75
344,2016-03-29 12:00:00,6.58,605.75
345,2016-03-29 13:00:00,6.58,605.75
346,2016-03-29 14:00:00,6.58,605.75
347,2016-03-29 15:00:00,6.57,605.76
348,2016-03-29 16:00:00,6.56,605.77
349,2016-03-29 17:00:00,6.56,605.77
350,2016-03-29 18:00:00,6.55,605.78
351,2016-03-29 19:00:00,6.55,605.78
352,2016-03-29 20:00:00,6.54,605.79
353,2016-03-29 21:00:00,6.54,605.79
354,2016-03-29 22:00:00,6.53,605.8
355,2016-03-29 23:00:00,6.53,605.8
356,2016-03-30 00:00:00,6.53,605.8
357,2016-03-30 01:00:00,6.52,605.81
358,2016-03-30 02:00:00,6.51,605.82
359,2016-03-30 03:00:00,6.51,605.82
360,2016-03-30 04:00:00,6.5,605.83
361,2016-03-30 05:00:00,6.49,605.84
362,2016-03-30 06:00:00,6.49,605.84
363,2016-03-30 07:00:00,6.48,605.85
364,2016-03-30 08:00:00,6.47,605.86
365,2016-03-30 09:00:00,6.47,605.86
366,2016-03-30 10:00:00,6.46,605.87
367,2016-03-30 11:00:00,6.45,605.88
368,2016-03-30 12:00:00,6.45,605.88
369,2016-03-30 13:00:00,6.44,605.89
370,2016-03-30 14:00:00,6.44,605.89
371,2016-03-30 15:00:00,6.43,605.9
372,2016-03-30 16:00:00,6.43,605.9
373,2016-03-30 17:00:00,6.43,605.9
374,2016-03-30 18:00:00,6.43,605.9
375,2016-03-30 19:00:00,6.42,605.91
376,2016-03-30 20:00:00,6.41,605.92
377,2016-03-30 21:00:00,6.39,605.94
378,2016-03-30 22:00:00,6.38,605.95
379,2016-03-30 23:00:00,6.38,605.95
380,2016-03-31 00:00:00,6.37,605.96
381,2016-03-31 01:00:00,6.37,605.96
382,2016-03-31 02:00:00,6.36,605.97
383,2016-03-31 03:00:00,6.36,605.97
384,2016-03-31 04:00:00,6.35,605.98
385,2016-03-31 05:00:00,6.35,605.98
386,2016-03-31 06:00:00,6.35,605.98
387,2016-03-31 07:00:00,6.35,605.98
388,2016-03-31 08:00:00,6.34,605.99
389,2016-03-31 09:00:00,6.33,606.0
390,2016-03-31 10:00:00,6.34,605.99
391,2016-03-31 11:00:00,6.34,605.99
392,2016-03-31 12:00:00,6.34,605.99
393,2016-03-31 13:00:00,6.35,605.98
394,2016-03-31 14:00:00,6.35,605.98
395,2016-03-31 15:00:00,6.36,605.97
396,2016-03-31 16:00:00,6.37,605.96
397,2016-03-31 17:00:00,6.38,605.95
398,2016-03-31 18:00:00,6.39,605.94
399,2016-03-31 19:00:00,6.39,605.94
400,2016-03-31 20:00:00,6.39,605.94
401,2016-03-31 21:00:00,6.4,605.93
402,2016-03-31 22:00:00,6.4,605.93
403,2016-03-31 23:00:00,6.4,605.93
404,2016-04-01 00:00:00,6.4,605.93
405,2016-04-01 01:00:00,6.4,605.93
406,2016-04-01 02:00:00,6.4,605.93
407,2016-04-01 03:00:00,6.4,605.93
408,2016-04-01 04:00:00,6.4,605.93
409,2016-04-01 05:00:00,6.4,605.93
410,2016-04-01 06:00:00,6.41,605.92
411,2016-04-01 07:00:00,6.41,605.92
412,2016-04-01 08:00:00,6.42,605.91
413,2016-04-01 09:00:00,6.42,605.91
414,2016-04-01 10:00:00,6.42,605.91
415,2016-04-01 11:00:00,6.42,605.91
416,2016-04-01 12:00:00,6.42,605.91
417,2016-04-01 13:00:00,6.42,605.91
418,2016-04-01 14:00:00,6.42,605.91
419,2016-04-01 15:00:00,6.43,605.9
420,2016-04-01 16:00:00,6.43,605.9
421,2016-04-01 17:00:00,6.43,605.9
422,2016-04-01 18:00:00,6.44,605.89
423,2016-04-01 19:00:00,6.44,605.89
424,2016-04-01 20:00:00,6.45,605.88
425,2016-04-01 21:00:00,6.46,605.87
426,2016-04-01 22:00:00,6.45,605.88
427,2016-04-01 23:00:00,6.45,605.88
428,2016-04-02 00:00:00,6.44,605.89
429,2016-04-02 01:00:00,6.44,605.89
430,2016-04-02 02:00:00,6.43,605.9
431,2016-04-02 03:00:00,6.42,605.91
432,2016-04-02 04:00:00,6.41,605.92
433,2016-04-02 05:00:00,6.4,605.93
434,2016-04-02 06:00:00,6.39,605.94
435,2016-04-02 07:00:00,6.39,605.94
436,2016-04-02 08:00:00,6.38,605.95
437,2016-04-02 09:00:00,6.37,605.96
438,2016-04-02 10:00:00,6.4,605.93
439,2016-04-02 11:00:00,6.41,605.92
440,2016-04-02 12:00:00,6.41,605.92
441,2016-04-02 13:00:00,6.42,605.91
442,2016-04-02 14:00:00,6.43,605.9
443,2016-04-02 15:00:00,6.44,605.89
444,2016-04-02 16:00:00,6.45,605.88
445,2016-04-02 17:00:00,6.45,605.88
446,2016-04-02 18:00:00,6.46,605.87
447,2016-04-02 19:00:00,6.47,605.86
448,2016-04-02 20:00:00,6.49,605.84
449,2016-04-02 21:00:00,6.49,605.84
450,2016-04-02 22:00:00,6.49,605.84
451,2016-04-02 23:00:00,6.49,605.84
452,2016-04-03 00:00:00,6.48,605.85
453,2016-04-03 01:00:00,6.47,605.86
454,2016-04-03 02:00:00,6.47,605.86
455,2016-04-03 03:00:00,6.46,605.87
