RECORD,TIMESTAMP,depth_to_water_from_land_surface,head
0,2016-03-15 13:00:00,8.14,626.53
1,2016-03-15 14:00:00,8.14,626.53
2,2016-03-15 15:00:00,8.13,626.54
3,2016-03-15 16:00:00,8.12,626.55
4,2016-03-15 17:00:00,8.12,626.55
5,2016-03-15 18:00:00,8.11,626.56
6,2016-03-15 19:00:00,8.09,626.58
7,2016-03-15 20:00:00,8.1,626.57
8,2016-03-15 21:00:00,8.11,626.56
9,2016-03-15 22:00:00,8.1,626.57
10,2016-03-15 23:00:00,8.12,626.55
11,2016-03-16 00:00:00,8.11,626.56
12,2016-03-16 01:00:00,8.12,626.55
13,2016-03-16 02:00:00,8.13,626.54
14,2016-03-16 03:00:00,8.13,626.54
15,2016-03-16 04:00:00,8.13,626.54
16,2016-03-16 05:00:00,8.14,626.53
17,2016-03-16 06:00:00,8.14,626.53
18,2016-03-16 07:00:00,8.13,626.54
19,2016-03-16 08:00:00,8.15,626.52
20,2016-03-16 09:00:00,8.16,626.51
21,2016-03-16 10:00:00,8.16,626.51
22,2016-03-16 11:00:00,8.16,626.51
23,2016-03-16 12:00:00,8.16,626.51
24,2016-03-16 13:00:00,8.16,626.51
25,2016-03-16 14:00:00,8.17,626.5
26,2016-03-16 15:00:00,8.16,626.51
27,2016-03-16 16:00:00,8.16,626.51
28,2016-03-16 17:00:00,8.16,626.51
29,2016-03-16 18:00:00,8.17,626.5
30,2016-03-16 19:00:00,8.17,626.5
31,2016-03-16 20:00:00,8.17,626.5
32,2016-03-16 21:00:00,8.17,626.5
33,2016-03-16 22:00:00,8.17,626.5
34,2016-03-16 23:00:00,8.16,626.51
35,2016-03-17 00:00:00,8.16,626.51
36,2016-03-17 01:00:00,8.16,626.51
37,2016-03-17 02:00:00,8.16,626.51
38,2016-03-17 03:00:00,8.16,626.51
39,2016-03-17 04:00:00,8.15,626.52
40,2016-03-17 05:00:00,8.16,626.51
41,2016-03-17 06:00:00,8.16,626.51
42,2016-03-17 07:00:00,8.16,626.51
43,2016-03-17 08:00:00,8.16,626.51
44,2016-03-17 09:00:00,8.16,626.51
