RECORD,TIMESTAMP,depth_to_water_from_land_surface,head
0,2014-08-14 14:00:00,26.59,584.06
1,2014-08-14 15:00:00,26.58,584.07
2,2014-08-14 16:00:00,26.58,584.07
3,2014-08-14 17:00:00,26.59,584.06
4,2014-08-14 18:00:00,26.61,584.04
5,2014-08-14 19:00:00,26.63,584.02
6,2014-08-14 20:00:00,26.66,583.99
7,2014-08-14 21:00:00,26.68,583.97
8,2014-08-14 22:00:00,26.71,583.94
9,2014-08-14 23:00:00,26.72,583.93
10,2014-08-15 00:00:00,26.72,583.93
11,2014-08-15 01:00:00,26.71,583.94
12,2014-08-15 02:00:00,26.69,583.96
13,2014-08-15 03:00:00,26.67,583.98
14,2014-08-15 04:00:00,26.65,584.0
15,2014-08-15 05:00:00,26.64,584.01
16,2014-08-15 06:00:00,26.62,584.03
17,2014-08-15 07:00:00,26.6,584.05
18,2014-08-15 08:00:00,26.58,584.07
19,2014-08-15 09:00:00,26.56,584.09
20,2014-08-15 10:00:00,26.55,584.1
21,2014-08-15 11:00:00,26.57,584.08
22,2014-08-15 12:00:00,26.59,584.06
23,2014-08-15 13:00:00,26.62,584.03
24,2014-08-15 14:00:00,26.65,584.0
25,2014-08-15 15:00:00,26.68,583.97
26,2014-08-15 16:00:00,26.69,583.96
27,2014-08-15 17:00:00,26.69,583.96
28,2014-08-15 18:00:00,26.67,583.98
29,2014-08-15 19:00:00,26.64,584.01
30,2014-08-15 20:00:00,26.61,584.04
31,2014-08-15 21:00:00,26.59,584.06
32,2014-08-15 22:00:00,26.56,584.09
33,2014-08-15 23:00:00,26.53,584.12
34,2014-08-16 00:00:00,26.51,584.14
35,2014-08-16 01:00:00,26.49,584.16
36,2014-08-16 02:00:00,26.47,584.18
37,2014-08-16 03:00:00,26.45,584.2
38,2014-08-16 04:00:00,26.43,584.22
39,2014-08-16 05:00:00,26.41,584.24
40,2014-08-16 06:00:00,26.39,584.26
41,2014-08-16 07:00:00,26.37,584.28
42,2014-08-16 08:00:00,26.34,584.31
43,2014-08-16 09:00:00,26.32,584.33
44,2014-08-16 10:00:00,26.3,584.35
45,2014-08-16 11:00:00,26.29,584.36
46,2014-08-16 12:00:00,26.27,584.38
47,2014-08-16 13:00:00,26.25,584.4
48,2014-08-16 14:00:00,26.23,584.42
49,2014-08-16 15:00:00,26.22,584.43
50,2014-08-16 16:00:00,26.2,584.45
51,2014-08-16 17:00:00,26.18,584.47
52,2014-08-16 18:00:00,26.16,584.49
53,2014-08-16 19:00:00,26.15,584.5
54,2014-08-16 20:00:00,26.13,584.52
55,2014-08-16 21:00:00,26.12,584.53
56,2014-08-16 22:00:00,26.11,584.54
57,2014-08-16 23:00:00,26.09,584.56
58,2014-08-17 00:00:00,26.08,584.57
59,2014-08-17 01:00:00,26.07,584.58
60,2014-08-17 02:00:00,26.06,584.59
61,2014-08-17 03:00:00,26.05,584.6
62,2014-08-17 04:00:00,26.05,584.6
63,2014-08-17 05:00:00,26.04,584.61
64,2014-08-17 06:00:00,26.04,584.61
65,2014-08-17 07:00:00,26.04,584.61
66,2014-08-17 08:00:00,26.03,584.62
67,2014-08-17 09:00:00,26.02,584.63
68,2014-08-17 10:00:00,26.02,584.63
69,2014-08-17 11:00:00,26.02,584.63
70,2014-08-17 12:00:00,26.01,584.64
71,2014-08-17 13:00:00,26.01,584.64
72,2014-08-17 14:00:00,26.01,584.64
73,2014-08-17 15:00:00,26.0,584.65
74,2014-08-17 16:00:00,26.0,584.65
75,2014-08-17 17:00:00,26.0,584.65
76,2014-08-17 18:00:00,26.0,584.65
77,2014-08-17 19:00:00,25.99,584.66
78,2014-08-17 20:00:00,25.99,584.66
79,2014-08-17 21:00:00,26.0,584.65
80,2014-08-17 22:00:00,26.0,584.65
81,2014-08-17 23:00:00,26.0,584.65
82,2014-08-18 00:00:00,25.99,584.66
83,2014-08-18 01:00:00,26.0,584.65
84,2014-08-18 02:00:00,26.0,584.65
85,2014-08-18 03:00:00,26.01,584.64
86,2014-08-18 04:00:00,26.01,584.64
87,2014-08-18 05:00:00,26.02,584.63
88,2014-08-18 06:00:00,26.02,584.63
89,2014-08-18 07:00:00,26.03,584.62
90,2014-08-18 08:00:00,26.04,584.61
91,2014-08-18 09:00:00,26.04,584.61
92,2014-08-18 10:00:00,26.05,584.6
93,2014-08-18 11:00:00,26.06,584.59
94,2014-08-18 12:00:00,26.07,584.58
95,2014-08-18 13:00:00,26.07,584.58
96,2014-08-18 14:00:00,26.08,584.57
97,2014-08-18 15:00:00,26.09,584.56
98,2014-08-18 16:00:00,26.09,584.56
99,2014-08-18 17:00:00,26.1,584.55
100,2014-08-18 18:00:00,26.11,584.54
101,2014-08-18 19:00:00,26.12,584.53
102,2014-08-18 20:00:00,26.13,584.52
103,2014-08-18 21:00:00,26.14,584.51
104,2014-08-18 22:00:00,26.15,584.5
105,2014-08-18 23:00:00,26.16,584.49
106,2014-08-19 00:00:00,26.17,584.48
107,2014-08-19 01:00:00,26.18,584.47
108,2014-08-19 02:00:00,26.19,584.46
109,2014-08-19 03:00:00,26.19,584.46
110,2014-08-19 04:00:00,26.2,584.45
111,2014-08-19 05:00:00,26.21,584.44
112,2014-08-19 06:00:00,26.22,584.43
113,2014-08-19 07:00:00,26.23,584.42
114,2014-08-19 08:00:00,26.25,584.4
115,2014-08-19 09:00:00,26.26,584.39
116,2014-08-19 10:00:00,26.27,584.38
117,2014-08-19 11:00:00,26.28,584.37
118,2014-08-19 12:00:00,26.29,584.36
119,2014-08-19 13:00:00,26.31,584.34
120,2014-08-19 14:00:00,26.32,584.33
121,2014-08-19 15:00:00,26.34,584.31
122,2014-08-19 16:00:00,26.36,584.29
123,2014-08-19 17:00:00,26.39,584.26
124,2014-08-19 18:00:00,26.42,584.23
125,2014-08-19 19:00:00,26.46,584.19
126,2014-08-19 20:00:00,26.77,583.88
127,2014-08-19 21:00:00,27.11,583.54
128,2014-08-19 22:00:00,27.4,583.25
129,2014-08-19 23:00:00,27.66,582.99
130,2014-08-20 00:00:00,27.88,582.77
131,2014-08-20 01:00:00,28.08,582.57
132,2014-08-20 02:00:00,28.26,582.39
133,2014-08-20 03:00:00,28.43,582.22
134,2014-08-20 04:00:00,28.59,582.06
135,2014-08-20 05:00:00,28.74,581.91
136,2014-08-20 06:00:00,28.88,581.77
137,2014-08-20 07:00:00,29.01,581.64
138,2014-08-20 08:00:00,29.12,581.53
139,2014-08-20 09:00:00,29.21,581.44
140,2014-08-20 10:00:00,29.29,581.36
141,2014-08-20 11:00:00,29.37,581.28
142,2014-08-20 12:00:00,29.44,581.21
143,2014-08-20 13:00:00,29.52,581.13
144,2014-08-20 14:00:00,29.61,581.04
145,2014-08-20 15:00:00,29.7,580.95
146,2014-08-20 16:00:00,29.8,580.85
147,2014-08-20 17:00:00,29.9,580.75
148,2014-08-20 18:00:00,29.98,580.67
149,2014-08-20 19:00:00,30.07,580.58
150,2014-08-20 20:00:00,30.16,580.49
151,2014-08-20 21:00:00,30.24,580.41
152,2014-08-20 22:00:00,30.31,580.34
153,2014-08-20 23:00:00,30.38,580.27
154,2014-08-21 00:00:00,30.42,580.23
155,2014-08-21 01:00:00,30.46,580.19
156,2014-08-21 02:00:00,30.49,580.16
157,2014-08-21 03:00:00,30.52,580.13
158,2014-08-21 04:00:00,30.56,580.09
159,2014-08-21 05:00:00,30.59,580.06
160,2014-08-21 06:00:00,30.63,580.02
161,2014-08-21 07:00:00,30.68,579.97
162,2014-08-21 08:00:00,30.72,579.93
163,2014-08-21 09:00:00,30.75,579.9
164,2014-08-21 10:00:00,30.79,579.86
165,2014-08-21 11:00:00,30.82,579.83
166,2014-08-21 12:00:00,30.86,579.79
167,2014-08-21 13:00:00,30.89,579.76
168,2014-08-21 14:00:00,30.92,579.73
169,2014-08-21 15:00:00,30.97,579.68
170,2014-08-21 16:00:00,31.02,579.63
171,2014-08-21 17:00:00,31.08,579.57
172,2014-08-21 18:00:00,31.15,579.5
173,2014-08-21 19:00:00,31.2,579.45
174,2014-08-21 20:00:00,31.26,579.39
175,2014-08-21 21:00:00,31.32,579.33
176,2014-08-21 22:00:00,31.36,579.29
177,2014-08-21 23:00:00,31.41,579.24
178,2014-08-22 00:00:00,31.45,579.2
179,2014-08-22 01:00:00,31.49,579.16
180,2014-08-22 02:00:00,31.52,579.13
181,2014-08-22 03:00:00,31.53,579.12
182,2014-08-22 04:00:00,31.53,579.12
183,2014-08-22 05:00:00,31.52,579.13
184,2014-08-22 06:00:00,31.52,579.13
185,2014-08-22 07:00:00,31.51,579.14
186,2014-08-22 08:00:00,31.52,579.13
187,2014-08-22 09:00:00,31.47,579.18
188,2014-08-22 10:00:00,31.47,579.18
189,2014-08-22 11:00:00,31.21,579.44
190,2014-08-22 12:00:00,30.92,579.73
191,2014-08-22 13:00:00,30.68,579.97
192,2014-08-22 14:00:00,30.48,580.17
193,2014-08-22 15:00:00,30.32,580.33
194,2014-08-22 16:00:00,30.17,580.48
195,2014-08-22 17:00:00,30.05,580.6
196,2014-08-22 18:00:00,29.94,580.71
197,2014-08-22 19:00:00,29.84,580.81
198,2014-08-22 20:00:00,29.76,580.89
199,2014-08-22 21:00:00,29.68,580.97
200,2014-08-22 22:00:00,29.6,581.05
201,2014-08-22 23:00:00,29.53,581.12
202,2014-08-23 00:00:00,29.46,581.19
203,2014-08-23 01:00:00,29.39,581.26
204,2014-08-23 02:00:00,29.32,581.33
205,2014-08-23 03:00:00,29.26,581.39
206,2014-08-23 04:00:00,29.2,581.45
207,2014-08-23 05:00:00,29.14,581.51
208,2014-08-23 06:00:00,29.09,581.56
209,2014-08-23 07:00:00,29.04,581.61
210,2014-08-23 08:00:00,29.0,581.65
211,2014-08-23 09:00:00,28.96,581.69
212,2014-08-23 10:00:00,28.82,581.83
213,2014-08-23 11:00:00,28.77,581.88
214,2014-08-23 12:00:00,28.73,581.92
215,2014-08-23 13:00:00,28.69,581.96
216,2014-08-23 14:00:00,28.64,582.01
217,2014-08-23 15:00:00,28.6,582.05
218,2014-08-23 16:00:00,28.56,582.09
219,2014-08-23 17:00:00,28.52,582.13
220,2014-08-23 18:00:00,28.49,582.16
221,2014-08-23 19:00:00,28.45,582.2
222,2014-08-23 20:00:00,28.42,582.23
223,2014-08-23 21:00:00,28.39,582.26
224,2014-08-23 22:00:00,28.36,582.29
225,2014-08-23 23:00:00,28.32,582.33
226,2014-08-24 00:00:00,28.29,582.36
227,2014-08-24 01:00:00,28.25,582.4
228,2014-08-24 02:00:00,28.22,582.43
229,2014-08-24 03:00:00,28.18,582.47
230,2014-08-24 04:00:00,28.15,582.5
231,2014-08-24 05:00:00,28.12,582.53
232,2014-08-24 06:00:00,28.09,582.56
233,2014-08-24 07:00:00,28.06,582.59
234,2014-08-24 08:00:00,28.04,582.61
235,2014-08-24 09:00:00,28.01,582.64
236,2014-08-24 10:00:00,27.99,582.66
237,2014-08-24 11:00:00,27.96,582.69
238,2014-08-24 12:00:00,27.94,582.71
239,2014-08-24 13:00:00,27.91,582.74
240,2014-08-24 14:00:00,27.88,582.77
241,2014-08-24 15:00:00,27.85,582.8
242,2014-08-24 16:00:00,27.82,582.83
