RECORD,TIMESTAMP,depth_to_water_from_land_surface,head
0,2014-08-14 14:00:00,9.31,601.71
1,2014-08-14 15:00:00,9.32,601.7
2,2014-08-14 16:00:00,9.32,601.7
3,2014-08-14 17:00:00,9.32,601.7
4,2014-08-14 18:00:00,9.32,601.7
5,2014-08-14 19:00:00,9.32,601.7
6,2014-08-14 20:00:00,9.32,601.7
7,2014-08-14 21:00:00,9.32,601.7
8,2014-08-14 22:00:00,9.32,601.7
9,2014-08-14 23:00:00,9.32,601.7
10,2014-08-15 00:00:00,9.32,601.7
11,2014-08-15 01:00:00,9.32,601.7
12,2014-08-15 02:00:00,9.32,601.7
13,2014-08-15 03:00:00,9.32,601.7
14,2014-08-15 04:00:00,9.32,601.7
15,2014-08-15 05:00:00,9.32,601.7
16,2014-08-15 06:00:00,9.32,601.7
17,2014-08-15 07:00:00,9.32,601.7
18,2014-08-15 08:00:00,9.32,601.7
19,2014-08-15 09:00:00,9.32,601.7
20,2014-08-15 10:00:00,9.33,601.69
21,2014-08-15 11:00:00,9.33,601.69
22,2014-08-15 12:00:00,9.34,601.68
23,2014-08-15 13:00:00,9.34,601.68
24,2014-08-15 14:00:00,9.34,601.68
25,2014-08-15 15:00:00,9.34,601.68
26,2014-08-15 16:00:00,9.34,601.68
27,2014-08-15 17:00:00,9.35,601.67
28,2014-08-15 18:00:00,9.34,601.68
29,2014-08-15 19:00:00,9.34,601.68
30,2014-08-15 20:00:00,9.34,601.68
31,2014-08-15 21:00:00,9.34,601.68
32,2014-08-15 22:00:00,9.34,601.68
33,2014-08-15 23:00:00,9.34,601.68
34,2014-08-16 00:00:00,9.34,601.68
35,2014-08-16 01:00:00,9.33,601.69
36,2014-08-16 02:00:00,9.34,601.68
37,2014-08-16 03:00:00,9.34,601.68
38,2014-08-16 04:00:00,9.34,601.68
39,2014-08-16 05:00:00,9.34,601.68
40,2014-08-16 06:00:00,9.34,601.68
41,2014-08-16 07:00:00,9.34,601.68
42,2014-08-16 08:00:00,9.34,601.68
43,2014-08-16 09:00:00,9.34,601.68
44,2014-08-16 10:00:00,9.35,601.67
45,2014-08-16 11:00:00,9.35,601.67
46,2014-08-16 12:00:00,9.35,601.67
47,2014-08-16 13:00:00,9.35,601.67
48,2014-08-16 14:00:00,9.36,601.66
49,2014-08-16 15:00:00,9.36,601.66
50,2014-08-16 16:00:00,9.36,601.66
51,2014-08-16 17:00:00,9.37,601.65
52,2014-08-16 18:00:00,9.37,601.65
53,2014-08-16 19:00:00,9.37,601.65
54,2014-08-16 20:00:00,9.37,601.65
55,2014-08-16 21:00:00,9.37,601.65
56,2014-08-16 22:00:00,9.37,601.65
57,2014-08-16 23:00:00,9.37,601.65
58,2014-08-17 00:00:00,9.36,601.66
59,2014-08-17 01:00:00,9.36,601.66
60,2014-08-17 02:00:00,9.37,601.65
61,2014-08-17 03:00:00,9.37,601.65
62,2014-08-17 04:00:00,9.36,601.66
63,2014-08-17 05:00:00,9.37,601.65
64,2014-08-17 06:00:00,9.37,601.65
65,2014-08-17 07:00:00,9.37,601.65
66,2014-08-17 08:00:00,9.37,601.65
67,2014-08-17 09:00:00,9.38,601.64
68,2014-08-17 10:00:00,9.38,601.64
69,2014-08-17 11:00:00,9.38,601.64
70,2014-08-17 12:00:00,9.39,601.63
