RECORD,TIMESTAMP,depth_to_water_from_land_surface,head
0,2018-09-21 09:00:00,18.1,630.89
1,2018-09-21 10:00:00,18.1,630.89
2,2018-09-21 11:00:00,18.1,630.89
3,2018-09-21 12:00:00,18.1,630.89
4,2018-09-21 13:00:00,18.11,630.88
5,2018-09-21 14:00:00,18.11,630.88
6,2018-09-21 15:00:00,18.11,630.88
7,2018-09-21 16:00:00,18.12,630.87
8,2018-09-21 17:00:00,18.12,630.87
9,2018-09-21 18:00:00,18.12,630.87
10,2018-09-21 19:00:00,18.13,630.86
11,2018-09-21 20:00:00,18.12,630.87
12,2018-09-21 21:00:00,18.13,630.86
13,2018-09-21 22:00:00,18.13,630.86
14,2018-09-21 23:00:00,18.13,630.86
15,2018-09-22 00:00:00,18.13,630.86
16,2018-09-22 01:00:00,18.13,630.86
17,2018-09-22 02:00:00,18.12,630.87
18,2018-09-22 03:00:00,18.12,630.87
19,2018-09-22 04:00:00,18.12,630.87
20,2018-09-22 05:00:00,18.12,630.87
21,2018-09-22 06:00:00,18.11,630.88
22,2018-09-22 07:00:00,18.11,630.88
23,2018-09-22 08:00:00,18.11,630.88
24,2018-09-22 09:00:00,18.11,630.88
25,2018-09-22 10:00:00,18.1,630.89
26,2018-09-22 11:00:00,18.1,630.89
27,2018-09-22 12:00:00,18.1,630.89
28,2018-09-22 13:00:00,18.1,630.89
29,2018-09-22 14:00:00,18.09,630.9
30,2018-09-22 15:00:00,18.08,630.91
31,2018-09-22 16:00:00,18.08,630.91
32,2018-09-22 17:00:00,18.08,630.91
33,2018-09-22 18:00:00,18.08,630.91
34,2018-09-22 19:00:00,18.09,630.9
35,2018-09-22 20:00:00,18.1,630.89
36,2018-09-22 21:00:00,18.12,630.87
37,2018-09-22 22:00:00,18.13,630.86
38,2018-09-22 23:00:00,18.15,630.84
39,2018-09-23 00:00:00,18.16,630.83
40,2018-09-23 01:00:00,18.17,630.82
41,2018-09-23 02:00:00,18.18,630.81
42,2018-09-23 03:00:00,18.18,630.81
43,2018-09-23 04:00:00,18.18,630.81
44,2018-09-23 05:00:00,18.18,630.81
45,2018-09-23 06:00:00,18.17,630.82
46,2018-09-23 07:00:00,18.17,630.82
47,2018-09-23 08:00:00,18.17,630.82
48,2018-09-23 09:00:00,18.16,630.83
49,2018-09-23 10:00:00,18.16,630.83
