RECORD,TIMESTAMP,depth_to_water_from_land_surface,head
0,2018-09-21 09:00:00,6.46,643.11
1,2018-09-21 10:00:00,6.48,643.09
2,2018-09-21 11:00:00,6.49,643.08
3,2018-09-21 12:00:00,6.49,643.08
4,2018-09-21 13:00:00,6.49,643.08
5,2018-09-21 14:00:00,6.49,643.08
6,2018-09-21 15:00:00,6.5,643.07
7,2018-09-21 16:00:00,6.51,643.06
8,2018-09-21 17:00:00,6.52,643.05
9,2018-09-21 18:00:00,6.53,643.04
10,2018-09-21 19:00:00,6.54,643.03
11,2018-09-21 20:00:00,6.55,643.02
12,2018-09-21 21:00:00,6.55,643.02
13,2018-09-21 22:00:00,6.55,643.02
14,2018-09-21 23:00:00,6.54,643.03
15,2018-09-22 00:00:00,6.53,643.04
16,2018-09-22 01:00:00,6.53,643.04
17,2018-09-22 02:00:00,6.53,643.04
18,2018-09-22 03:00:00,6.54,643.03
19,2018-09-22 04:00:00,6.53,643.04
20,2018-09-22 05:00:00,6.54,643.03
21,2018-09-22 06:00:00,6.53,643.04
22,2018-09-22 07:00:00,6.53,643.04
23,2018-09-22 08:00:00,6.53,643.04
24,2018-09-22 09:00:00,6.53,643.04
25,2018-09-22 10:00:00,6.53,643.04
26,2018-09-22 11:00:00,6.52,643.05
27,2018-09-22 12:00:00,6.51,643.06
28,2018-09-22 13:00:00,6.5,643.07
29,2018-09-22 14:00:00,6.49,643.08
30,2018-09-22 15:00:00,6.48,643.09
31,2018-09-22 16:00:00,6.49,643.08
32,2018-09-22 17:00:00,6.49,643.08
33,2018-09-22 18:00:00,6.49,643.08
34,2018-09-22 19:00:00,6.5,643.07
35,2018-09-22 20:00:00,6.5,643.07
36,2018-09-22 21:00:00,6.5,643.07
37,2018-09-22 22:00:00,6.5,643.07
38,2018-09-22 23:00:00,6.5,643.07
39,2018-09-23 00:00:00,6.5,643.07
40,2018-09-23 01:00:00,6.5,643.07
41,2018-09-23 02:00:00,6.5,643.07
42,2018-09-23 03:00:00,6.5,643.07
43,2018-09-23 04:00:00,6.5,643.07
44,2018-09-23 05:00:00,6.51,643.06
45,2018-09-23 06:00:00,6.51,643.06
46,2018-09-23 07:00:00,6.52,643.05
47,2018-09-23 08:00:00,6.53,643.04
48,2018-09-23 09:00:00,6.53,643.04
49,2018-09-23 10:00:00,6.52,643.05
50,2018-09-23 11:00:00,6.52,643.05
51,2018-09-23 12:00:00,6.51,643.06
52,2018-09-23 13:00:00,6.5,643.07
53,2018-09-23 14:00:00,6.49,643.08
54,2018-09-23 15:00:00,6.5,643.07
55,2018-09-23 16:00:00,6.5,643.07
56,2018-09-23 17:00:00,6.51,643.06
57,2018-09-23 18:00:00,6.51,643.06
58,2018-09-23 19:00:00,6.51,643.06
59,2018-09-23 20:00:00,6.52,643.05
60,2018-09-23 21:00:00,6.53,643.04
61,2018-09-23 22:00:00,6.53,643.04
62,2018-09-23 23:00:00,6.53,643.04
63,2018-09-24 00:00:00,6.53,643.04
64,2018-09-24 01:00:00,6.53,643.04
65,2018-09-24 02:00:00,6.52,643.05
66,2018-09-24 03:00:00,6.52,643.05
67,2018-09-24 04:00:00,6.52,643.05
68,2018-09-24 05:00:00,6.53,643.04
69,2018-09-24 06:00:00,6.53,643.04
70,2018-09-24 07:00:00,6.54,643.03
71,2018-09-24 08:00:00,6.53,643.04
72,2018-09-24 09:00:00,6.52,643.05
73,2018-09-24 10:00:00,6.52,643.05
74,2018-09-24 11:00:00,6.52,643.05
75,2018-09-24 12:00:00,6.51,643.06
76,2018-09-24 13:00:00,6.5,643.07
77,2018-09-24 14:00:00,6.49,643.08
78,2018-09-24 15:00:00,6.5,643.07
79,2018-09-24 16:00:00,6.51,643.06
80,2018-09-24 17:00:00,6.51,643.06
81,2018-09-24 18:00:00,6.51,643.06
82,2018-09-24 19:00:00,6.52,643.05
83,2018-09-24 20:00:00,6.52,643.05
84,2018-09-24 21:00:00,6.53,643.04
85,2018-09-24 22:00:00,6.53,643.04
86,2018-09-24 23:00:00,6.52,643.05
87,2018-09-25 00:00:00,6.53,643.04
88,2018-09-25 01:00:00,6.53,643.04
89,2018-09-25 02:00:00,6.53,643.04
90,2018-09-25 03:00:00,6.53,643.04
91,2018-09-25 04:00:00,6.54,643.03
92,2018-09-25 05:00:00,6.54,643.03
93,2018-09-25 06:00:00,6.55,643.02
94,2018-09-25 07:00:00,6.55,643.02
95,2018-09-25 08:00:00,6.55,643.02
96,2018-09-25 09:00:00,6.55,643.02
97,2018-09-25 10:00:00,6.54,643.03
98,2018-09-25 11:00:00,6.54,643.03
99,2018-09-25 12:00:00,6.55,643.02
100,2018-09-25 13:00:00,6.52,643.05
101,2018-09-25 14:00:00,6.52,643.05
102,2018-09-25 15:00:00,6.53,643.04
103,2018-09-25 16:00:00,6.51,643.06
104,2018-09-25 17:00:00,6.51,643.06
105,2018-09-25 18:00:00,6.51,643.06
106,2018-09-25 19:00:00,6.51,643.06
107,2018-09-25 20:00:00,6.5,643.07
108,2018-09-25 21:00:00,6.5,643.07
109,2018-09-25 22:00:00,6.5,643.07
110,2018-09-25 23:00:00,6.49,643.08
111,2018-09-26 00:00:00,6.49,643.08
112,2018-09-26 01:00:00,6.48,643.09
113,2018-09-26 02:00:00,6.48,643.09
114,2018-09-26 03:00:00,6.47,643.1
115,2018-09-26 04:00:00,6.47,643.1
116,2018-09-26 05:00:00,6.48,643.09
117,2018-09-26 06:00:00,6.47,643.1
118,2018-09-26 07:00:00,6.47,643.1
119,2018-09-26 08:00:00,6.47,643.1
120,2018-09-26 09:00:00,6.46,643.11
121,2018-09-26 10:00:00,6.45,643.12
122,2018-09-26 11:00:00,6.45,643.12
123,2018-09-26 12:00:00,6.45,643.12
124,2018-09-26 13:00:00,6.44,643.13
125,2018-09-26 14:00:00,6.44,643.13
126,2018-09-26 15:00:00,6.44,643.13
127,2018-09-26 16:00:00,6.44,643.13
128,2018-09-26 17:00:00,6.44,643.13
129,2018-09-26 18:00:00,6.44,643.13
130,2018-09-26 19:00:00,6.44,643.13
131,2018-09-26 20:00:00,6.44,643.13
132,2018-09-26 21:00:00,6.44,643.13
133,2018-09-26 22:00:00,6.44,643.13
134,2018-09-26 23:00:00,6.44,643.13
135,2018-09-27 00:00:00,6.43,643.14
136,2018-09-27 01:00:00,6.43,643.14
137,2018-09-27 02:00:00,6.42,643.15
138,2018-09-27 03:00:00,6.42,643.15
139,2018-09-27 04:00:00,6.43,643.14
140,2018-09-27 05:00:00,6.43,643.14
141,2018-09-27 06:00:00,6.43,643.14
142,2018-09-27 07:00:00,6.43,643.14
143,2018-09-27 08:00:00,6.42,643.15
144,2018-09-27 09:00:00,6.41,643.16
145,2018-09-27 10:00:00,6.41,643.16
146,2018-09-27 11:00:00,6.41,643.16
147,2018-09-27 12:00:00,6.4,643.17
148,2018-09-27 13:00:00,6.4,643.17
