RECORD,TIMESTAMP,depth_to_water_from_land_surface,head
0,2014-08-14 09:00:00,34.08,538.62
1,2014-08-14 10:00:00,34.08,538.62
2,2014-08-14 11:00:00,34.08,538.62
3,2014-08-14 12:00:00,34.07,538.63
4,2014-08-14 13:00:00,34.06,538.64
5,2014-08-14 14:00:00,34.05,538.65
6,2014-08-14 15:00:00,34.04,538.66
7,2014-08-14 16:00:00,34.03,538.67
8,2014-08-14 17:00:00,34.03,538.67
9,2014-08-14 18:00:00,34.02,538.68
10,2014-08-14 19:00:00,34.02,538.68
11,2014-08-14 20:00:00,34.03,538.67
12,2014-08-14 21:00:00,34.04,538.66
13,2014-08-14 22:00:00,34.05,538.65
14,2014-08-14 23:00:00,34.06,538.64
15,2014-08-15 00:00:00,34.06,538.64
16,2014-08-15 01:00:00,34.07,538.63
17,2014-08-15 02:00:00,34.08,538.62
18,2014-08-15 03:00:00,34.07,538.63
19,2014-08-15 04:00:00,34.07,538.63
20,2014-08-15 05:00:00,34.08,538.62
21,2014-08-15 06:00:00,34.09,538.61
22,2014-08-15 07:00:00,34.1,538.6
23,2014-08-15 08:00:00,34.09,538.61
24,2014-08-15 09:00:00,34.09,538.61
25,2014-08-15 10:00:00,34.09,538.61
26,2014-08-15 11:00:00,34.08,538.62
27,2014-08-15 12:00:00,34.07,538.63
28,2014-08-15 13:00:00,34.06,538.64
29,2014-08-15 14:00:00,34.04,538.66
30,2014-08-15 15:00:00,34.02,538.68
31,2014-08-15 16:00:00,34.0,538.7
32,2014-08-15 17:00:00,33.99,538.71
33,2014-08-15 18:00:00,33.99,538.71
34,2014-08-15 19:00:00,33.99,538.71
35,2014-08-15 20:00:00,33.98,538.72
36,2014-08-15 21:00:00,33.99,538.71
37,2014-08-15 22:00:00,33.99,538.71
38,2014-08-15 23:00:00,33.99,538.71
39,2014-08-16 00:00:00,33.98,538.72
40,2014-08-16 01:00:00,33.97,538.73
41,2014-08-16 02:00:00,33.97,538.73
42,2014-08-16 03:00:00,33.96,538.74
43,2014-08-16 04:00:00,33.98,538.72
44,2014-08-16 05:00:00,33.97,538.73
45,2014-08-16 06:00:00,33.97,538.73
46,2014-08-16 07:00:00,33.98,538.72
47,2014-08-16 08:00:00,33.97,538.73
48,2014-08-16 09:00:00,33.97,538.73
49,2014-08-16 10:00:00,33.98,538.72
50,2014-08-16 11:00:00,33.99,538.71
51,2014-08-16 12:00:00,33.98,538.72
52,2014-08-16 13:00:00,33.96,538.74
53,2014-08-16 14:00:00,33.95,538.75
54,2014-08-16 15:00:00,33.95,538.75
55,2014-08-16 16:00:00,33.94,538.76
56,2014-08-16 17:00:00,33.94,538.76
57,2014-08-16 18:00:00,33.94,538.76
58,2014-08-16 19:00:00,33.95,538.75
59,2014-08-16 20:00:00,33.95,538.75
60,2014-08-16 21:00:00,33.96,538.74
61,2014-08-16 22:00:00,33.97,538.73
62,2014-08-16 23:00:00,33.97,538.73
63,2014-08-17 00:00:00,33.97,538.73
64,2014-08-17 01:00:00,33.96,538.74
